,title,condition,price,location,price($),country_code,store_name,store_type,simple_condition,brand,has_brand,title_length,log_price,log_title_length
11001,Touche' Jacket Genuine Leather Used Man Size 48 Black LLV13,Pre-Owned,$38.85,Italy,38.85,IT,eBay,International,Used,Other,False,59,3.685122405236224,4.0943445622221
11002,Talents Leather Jacket Used Men Size L Brown XYR735L,Pre-Owned,$48.71,Italy,48.71,IT,eBay,International,Used,Other,False,52,3.906206120106581,3.970291913552122
11003,Chiara Boni Leather Jacket Used Men Gray Size 52 PGC1062PI,Pre-Owned,$35.97,Italy,35.97,IT,eBay,International,Used,Other,False,58,3.6101067729485403,4.07753744390572
11004,In-frac-tion_Man Jacket_Leather_Vintage_ T.L _ (VH01/02/12 -9 P),Pre-Owned,$92.33,France,92.33,FR,eBay,International,Used,Other,False,64,4.536141599577656,4.174387269895637
11005,Leather Jacket LO SPECCHIO DI ALICE Woman Genuine Leather Blue TG 48 PG087LZ,Pre-Owned,$33.32,Italy,33.32,IT,eBay,International,Used,Other,False,76,3.5357282746197614,4.343805421853684
11007,Cvl Jacket Genuine Leather Man Tg50 Brown LLE17,Pre-Owned,$77.72,Italy,77.72,IT,eBay,International,Used,Other,False,47,4.365897252743998,3.871201010907891
11008,Manat Jacket Genuine Leather Used Woman Size L Brown LLV70,Pre-Owned,$38.93,Italy,38.93,IT,eBay,International,Used,Other,False,58,3.6871279210751298,4.07753744390572
11009,Trench Leather Used Man Tg50 Green LLV1644,Pre-Owned,$84.90,Italy,84.9,IT,eBay,International,Used,Other,False,42,4.45318382899021,3.7612001156935624
11010,Anna Kel Leather Jacket Used Woman Size 46 Camel XYE181L,Pre-Owned,$42.61,Italy,42.61,IT,eBay,International,Used,Other,False,56,3.775286481854675,4.04305126783455
11011,Sheepskin Shearling Man Brown Genuine Leather Vintage Size 50 Mon 511 Lz,Pre-Owned,$34.96,Italy,34.96,IT,eBay,International,Used,Vintage,False,72,3.5824072096034194,4.290459441148391
11012,Leather Jacket Used Men Brown Size 50 PGC140PI,Pre-Owned,$29.31,Italy,29.31,IT,eBay,International,Used,Other,False,46,3.4114776910697118,3.8501476017100584
11013,Cober Brown Leather Jacket Used Man Size 50 LLV661,Pre-Owned,$65.62,Italy,65.62,IT,eBay,International,Used,Other,False,50,4.199004832765533,3.9318256327243257
