,title,condition,price,location,price($),country_code,store_name,store_type,simple_condition,brand,has_brand,title_length,log_price,log_title_length
10888,MISS EURO MOD Jacket Genuine Leather Used Woman Size 48 Black LLV29,Pre-Owned,$42.61,Italy,42.61,IT,eBay,International,Used,Other,False,67,3.775286481854675,4.219507705176107
10889,Jacket Skin Used Man Brown Size 50 PGC134,Pre-Owned,$31.72,Italy,31.72,IT,eBay,International,Used,Other,False,41,3.487986511734546,3.7376696182833684
10890,Aviatrix Mens Nevada Timber Leather Biker Jacket 100% Real Leather Zip Pockets,Brand New,$175.96,United Kingdom,175.96,GB,eBay,International,New,Other,False,78,5.17592371833397,4.3694478524670215
10891,Oltremoda Men's Brown Leather Jacket Size 54 LLV1819,Pre-Owned,$80.63,Italy,80.63,IT,eBay,International,Used,Other,False,52,4.402196841463264,3.970291913552122
10893,Promod Leather Jacket Used Man Brown Size 40 PGS483PI,Pre-Owned,$38.85,Italy,38.85,IT,eBay,International,Used,Other,False,53,3.685122405236224,3.9889840465642745
10894,Heine Genuine Leather Jacket Used Women Size 48 Brown LLD146,Pre-Owned,$44.53,Italy,44.53,IT,eBay,International,Used,Other,False,60,3.818371449346691,4.110873864173311
10895,Privilegi Genuine Leather Jacket Used Women Size 44 Black LLV229,Pre-Owned,$43.62,Italy,43.62,IT,eBay,International,Used,Other,False,64,3.7981821890043865,4.174387269895637
10896,Clerim Men's Black Leather Jacket Size 50 AM41,Pre-Owned,$64.00,Italy,64.0,IT,eBay,International,Used,Other,False,46,4.174387269895637,3.8501476017100584
10897,OLD LEATHER FACTORY Jacket Skin Used Woman Black Size M PGC700PI,Pre-Owned,$31.05,Italy,31.05,IT,eBay,International,Used,Other,False,64,3.467297183366679,4.174387269895637
10898,C&A Men's Vintage Jacket Size 52/54 ( VH01/12/8 ),Pre-Owned,$43.61,France,43.61,FR,eBay,International,Used,Vintage,False,49,3.797958049140173,3.912023005428146
10899,Jacket Skin Used Woman Black Size M PGC209PI,Pre-Owned,$21.69,Italy,21.69,IT,eBay,International,Used,Other,False,44,3.1219242987917504,3.8066624897703196
10900,Jacket Genuine Leather Used Men's Size 50 Black XYR632L,Pre-Owned,$45.50,Italy,45.5,IT,eBay,International,Used,Other,False,55,3.8394523125933104,4.02535169073515
10901,Conbipel Men's Genuine Leather Jacket Size 50 Black LLV1135,Pre-Owned,$50.30,Italy,50.3,IT,eBay,International,Used,Other,False,59,3.937690752176724,4.0943445622221
10902,Pink Wool Varsity Letterman Bomber Jackets White Real Leather Sleeves,Brand New,$109.41,United Kingdom,109.41,GB,eBay,International,New,Other,False,69,4.704200709451046,4.248495242049359
10903,Men's Fashion Bomber Style Suede Leather Jacket,Brand New,$179.90,Pakistan,179.9,PK,eBay,International,New,Other,False,47,5.19794439240125,3.871201010907891
10904,St. Gold Leather Jacket Used Man Tg52 Brown LLV458,Pre-Owned,$56.75,Italy,56.75,IT,eBay,International,Used,Other,False,50,4.056123349401903,3.9318256327243257
10905,Cantarini Leather Jacket Used Woman Size 48 Brown LLD457,Pre-Owned,$40.38,Italy,40.38,IT,eBay,International,Used,Other,False,56,3.722797672317397,4.04305126783455
10907,Hunter’S Jacket Genuine Leather Used Man Size 54 Brown XYR732L,Pre-Owned,$38.93,Italy,38.93,IT,eBay,International,Used,Hunter,True,62,3.6871279210751298,4.143134726391533
10908,NOORA Men's Leather Stand Collor Zipper Motorcycleg Jacket Biker Jacket WA626,Brand New,$184.01,India,184.01,IN,eBay,International,New,Other,False,77,5.220409877671511,4.356708826689592
10909,Conbipel Jacket Pelle-Volpe Used Woman Brown SIZE S PGS1155PI,Pre-Owned,$38.93,Italy,38.93,IT,eBay,International,Used,Other,False,61,3.6871279210751298,4.127134385045092
10910,Arctic genuine leather jacket used woman size 48 black LLD107,Pre-Owned,$41.27,Italy,41.27,IT,eBay,International,Used,Other,False,61,3.7440776145786985,4.127134385045092
10911,It Leather Jacket Used Woman Brown Size 44 PGC548PI,Pre-Owned,$38.85,Italy,38.85,IT,eBay,International,Used,Other,False,51,3.685122405236224,3.9512437185814275
10912,Punk Men Lapel Fur Collar Faux Leather Coat Fur Jacket Short Outwear Winter,Brand New,$86.67,China,86.67,CN,eBay,International,New,Other,False,75,4.473579765600494,4.330733340286331
10913,J E M Jacket Leather Man Tg50 Brown LLV920,Pre-Owned,$58.47,Italy,58.47,IT,eBay,International,Used,Other,False,42,4.085471983718502,3.7612001156935624
10914,Vera Pelle Jacket Used Man Size XL Black LLV42,Pre-Owned,$38.85,Italy,38.85,IT,eBay,International,Used,Other,False,46,3.685122405236224,3.8501476017100584
10915,Leather Jacket OVIESSE Woman Genuine Leather Brown Size 44 PG073LZ,Pre-Owned,$33.32,Italy,33.32,IT,eBay,International,Used,Other,False,66,3.5357282746197614,4.204692619390966
10916,Jacket Skin Used Woman Black Size 44 PGC285PI,Pre-Owned,$22.17,Italy,22.17,IT,eBay,International,Used,Other,False,45,3.142858338444285,3.828641396489095
10917,Pellicceria Gioia Jacket Leather Man Tg48 Brown LLV1362,Pre-Owned,$79.51,Italy,79.51,IT,eBay,International,Used,Other,False,55,4.388381400311889,4.02535169073515
10919,Coat MC.Cartney Bianchi Woman Blue Genuine Leather Size 46 Mon 1092 Lz,Pre-Owned,$27.77,Italy,27.77,IT,eBay,International,Used,Other,False,70,3.3593331775634567,4.2626798770413155
10920,GIANANTONIO Leather Jacket Used Woman Brown Size 44 PGC1066PI,Pre-Owned,$38.93,Italy,38.93,IT,eBay,International,Used,Other,False,61,3.6871279210751298,4.127134385045092
10921,L'Andycapp Pelle Leather Jacket Used Woman Grey Size 48 PGS1147PI,Pre-Owned,$38.85,Italy,38.85,IT,eBay,International,Used,Other,False,65,3.685122405236224,4.189654742026425
10922,Conbipel Leather Jacket Used Woman Brown SIZE S PGC914PI,Pre-Owned,$28.14,Italy,28.14,IT,eBay,International,Used,Other,False,56,3.3721118007670587,4.04305126783455
